"Wavelength, µm","n"
4.0486,2.802
4.065,2.822
4.0816,2.843
4.0984,2.863
4.1152,2.883
4.1322,2.904
4.1494,2.926
4.1667,2.948
4.1841,2.969
4.2017,2.99
4.2194,3.012
4.2373,3.034
4.2553,3.057
4.2735,3.078
4.2918,3.102
4.3103,3.126
4.329,3.15
4.3478,3.174
4.3668,3.197
4.386,3.222
4.4053,3.247
4.4248,3.273
4.4444,3.298
4.4643,3.322
4.4843,3.348
4.5045,3.374
4.5249,3.4
4.5455,3.426
4.5662,3.453
4.5872,3.48
4.6083,3.508
4.6296,3.534
4.6512,3.561
4.6729,3.589
4.6948,3.617
4.717,3.646
4.7393,3.676
4.7619,3.705
4.7847,3.734
4.8077,3.763
4.8309,3.793
4.8544,3.822
4.878,3.851
4.902,3.879
4.9261,3.909
4.9505,3.938
4.9751,3.969
5,3.999
5.0251,4.03
5.0505,4.061
5.0761,4.094
5.102,4.125
5.1282,4.158
5.1546,4.19
5.1813,4.223
5.2083,4.255
5.2356,4.287
5.2632,4.32
5.291,4.353
5.3191,4.387
5.3476,4.421
5.3763,4.456
5.4054,4.491
5.4348,4.526
5.4645,4.561
5.4945,4.596
5.5249,4.632
5.5556,4.67
5.5866,4.707
5.618,4.745
5.6497,4.784
5.6818,4.824
5.7143,4.866
5.7471,4.907
5.7803,4.95
5.814,4.993
5.848,5.037
5.8824,5.081
5.9172,5.127
5.9524,5.173
5.988,5.219
6.0241,5.267
6.0606,5.315
6.0976,5.367
6.135,5.419
6.1728,5.473
6.2112,5.527
6.25,5.583
6.2893,5.638
6.3291,5.696
6.3694,5.753
6.4103,5.812
6.4516,5.871
6.4935,5.933
6.5359,5.996
6.5789,6.062
6.6225,6.129
6.6667,6.194
6.7114,6.26
6.7568,6.326
6.8027,6.395
6.8493,6.465
6.8966,6.539
6.9444,6.613
6.993,6.686
7.0423,6.76
7.0922,6.833
7.1429,6.909
7.1942,6.985
7.2464,7.064
7.2993,7.142
7.3529,7.224
7.4074,7.304
7.4627,7.384
7.5188,7.461
7.5758,7.537
7.6336,7.615
7.6923,7.698
7.7519,7.785
7.8125,7.869
7.874,7.952
7.9365,8.034
8,8.118
8.0645,8.204
8.1301,8.292
8.1967,8.381
8.2645,8.472
8.3333,8.56
8.4034,8.648
8.4746,8.735
8.547,8.828
8.6207,8.922
8.6957,9.018
8.7719,9.113
8.8496,9.21
8.9286,9.309
9.009,9.408
9.0909,9.509
9.1743,9.613
9.2593,9.724
9.3458,9.836
9.434,9.947
9.5238,10.061
9.6154,10.179
9.7087,10.304
9.8039,10.431
9.901,10.557
10,10.687
10.101,10.821
10.2041,10.963
10.3093,11.108
10.4167,11.256
10.5263,11.408
10.6383,11.565
10.7527,11.725
10.8696,11.89
10.989,12.059
11.1111,12.234
11.236,12.419
11.3636,12.608
11.4943,12.801
11.6279,12.994
11.7647,13.2
11.9048,13.41
12.0482,13.624
12.1951,13.84
12.3457,14.069
12.5,14.303
12.6582,14.541
12.8205,14.773
12.987,15.015
13.1579,15.265
13.3333,15.531
13.5135,15.802
13.6986,16.073
13.8889,16.353
14.0845,16.634
